symptoms,medicine
"fatigue, muscle pain",Amla Tablets
"dizziness, back pain, nausea, muscle pain",Moringa Powder
"insomnia, skin rash, dizziness, acne",Ashwagandha Capsules
"cough, fatigue",Brahmi Syrup
"constipation, cough, headache",Chamomile Tea
"headache, fatigue, cough",Tulsi Extract
"muscle pain, anxiety, vomiting, fatigue",Brahmi Syrup
"vomiting, fever, anxiety, depression",Triphala Juice
"dizziness, fatigue, itching",Licorice Root
"constipation, insomnia, back pain",Moringa Powder
"dizziness, nausea, fatigue, muscle pain",Brahmi Syrup
"muscle pain, dizziness, constipation",Ginger Powder
"stress, constipation",Shatavari Capsules
"anxiety, nausea",Chamomile Tea
"diarrhea, fatigue, constipation",Arjuna Bark
"muscle pain, nausea, headache",Moringa Powder
"itching, nausea, fatigue, muscle pain",Shatavari Capsules
"skin rash, anxiety, headache, depression",Licorice Root
"nausea, stress, vomiting",Brahmi Syrup
"skin rash, stress, diarrhea",Triphala Juice
"sore throat, depression, insomnia",Licorice Root
"muscle pain, acne, nausea, vomiting",Tulsi Extract
"stress, acne",Peppermint Oil
"fever, vomiting, acne, diarrhea",Shatavari Capsules
"acne, skin rash, joint pain, itching",Shatavari Capsules
"nausea, fever, constipation",Neem Tablets
"headache, fever, anxiety",Ginger Powder
"itching, acne, sore throat",Turmeric Capsules
"anxiety, itching, constipation",Fenugreek Seeds
"acne, fatigue",Triphala Juice
"joint pain, depression, insomnia",Brahmi Syrup
"vomiting, nausea, sore throat",Neem Tablets
"cough, itching",Triphala Juice
"acne, depression, constipation, nausea",Peppermint Oil
"dizziness, back pain, muscle pain, vomiting",Ginger Powder
"acne, insomnia, stress",Licorice Root
"vomiting, fever",Moringa Powder
"acne, anxiety",Tulsi Extract
"muscle pain, diarrhea, fever",Amla Tablets
"dizziness, sore throat, fever",Triphala Juice
"headache, fatigue",Neem Tablets
"vomiting, headache, acne",Turmeric Capsules
"anxiety, cough, insomnia, diarrhea",Fenugreek Seeds
"skin rash, anxiety, insomnia",Brahmi Syrup
"fever, joint pain, vomiting",Tulsi Extract
"headache, fatigue, vomiting",Turmeric Capsules
"muscle pain, skin rash, constipation",Ashwagandha Capsules
"itching, vomiting, stress, depression",Arjuna Bark
"headache, back pain, sore throat",Fenugreek Seeds
"dizziness, cough, stress",Arjuna Bark
"acne, itching, vomiting, skin rash",Neem Tablets
"stress, fatigue, diarrhea",Ashwagandha Capsules
"anxiety, sore throat",Neem Tablets
"sore throat, cough, back pain, dizziness",Arjuna Bark
"skin rash, insomnia, itching",Ginger Powder
"cough, diarrhea",Chamomile Tea
"nausea, acne, itching",Tulsi Extract
"itching, fever",Moringa Powder
"muscle pain, cough",Amla Tablets
"joint pain, acne",Peppermint Oil
"diarrhea, fever, anxiety, cough",Ashwagandha Capsules
"sore throat, back pain, dizziness, joint pain",Shatavari Capsules
"fatigue, diarrhea",Ashwagandha Capsules
"itching, headache, nausea",Tulsi Extract
"anxiety, cough",Ginger Powder
"nausea, acne, fatigue, cough",Shatavari Capsules
"skin rash, stress, sore throat, fever",Ginger Powder
"stress, fatigue",Turmeric Capsules
"stress, skin rash, itching, dizziness",Moringa Powder
"skin rash, dizziness, muscle pain",Ashwagandha Capsules
"insomnia, fever",Fenugreek Seeds
"insomnia, stress, vomiting, anxiety",Fenugreek Seeds
"stress, joint pain",Chamomile Tea
"stress, diarrhea, skin rash, fever",Arjuna Bark
"anxiety, back pain, muscle pain",Licorice Root
"headache, dizziness",Tulsi Extract
"back pain, constipation",Arjuna Bark
"acne, depression",Fenugreek Seeds
"muscle pain, vomiting",Chamomile Tea
"cough, constipation, headache, anxiety",Fenugreek Seeds
"diarrhea, sore throat, skin rash",Brahmi Syrup
"headache, nausea, muscle pain, sore throat",Licorice Root
"fatigue, dizziness, itching, constipation",Ginger Powder
"vomiting, insomnia",Tulsi Extract
"muscle pain, anxiety, constipation",Chamomile Tea
"headache, vomiting, acne, insomnia",Ginger Powder
"headache, acne, fever, dizziness",Fenugreek Seeds
"cough, headache",Fenugreek Seeds
"anxiety, constipation",Triphala Juice
"dizziness, stress",Peppermint Oil
"fever, diarrhea, acne",Triphala Juice
"dizziness, depression",Triphala Juice
"stress, acne, depression, muscle pain",Licorice Root
"depression, headache",Licorice Root
"headache, dizziness, sore throat",Peppermint Oil
"sore throat, muscle pain",Brahmi Syrup
"anxiety, skin rash",Chamomile Tea
"sore throat, stress, anxiety, dizziness",Fenugreek Seeds
"dizziness, constipation, anxiety",Neem Tablets
"muscle pain, nausea, skin rash, sore throat",Arjuna Bark
"back pain, headache, joint pain",Arjuna Bark
"depression, acne, sore throat",Turmeric Capsules
"joint pain, vomiting, fatigue",Brahmi Syrup
"depression, skin rash",Turmeric Capsules
"sore throat, stress, back pain, depression",Brahmi Syrup
"constipation, acne, itching",Brahmi Syrup
"vomiting, skin rash",Ginger Powder
"muscle pain, acne",Turmeric Capsules
"anxiety, stress, fatigue",Tulsi Extract
"insomnia, depression",Chamomile Tea
"muscle pain, diarrhea, stress",Amla Tablets
"back pain, stress, anxiety",Licorice Root
"muscle pain, insomnia",Chamomile Tea
"vomiting, headache, stress, nausea",Ginger Powder
"joint pain, anxiety, fatigue",Peppermint Oil
"nausea, joint pain",Neem Tablets
"acne, depression",Triphala Juice
"fever, depression, back pain, muscle pain",Arjuna Bark
"headache, stress",Ginger Powder
"dizziness, depression, diarrhea, stress",Tulsi Extract
"back pain, nausea, acne",Fenugreek Seeds
"dizziness, vomiting, muscle pain",Neem Tablets
"stress, fatigue",Amla Tablets
"back pain, vomiting, diarrhea",Turmeric Capsules
"cough, depression, stress, fever",Shatavari Capsules
"fatigue, skin rash",Fenugreek Seeds
"nausea, anxiety",Tulsi Extract
"stress, depression, fatigue",Brahmi Syrup
"itching, diarrhea, joint pain, insomnia",Licorice Root
"headache, cough, itching, constipation",Ashwagandha Capsules
"acne, depression, nausea",Amla Tablets
"nausea, sore throat",Moringa Powder
"cough, skin rash, diarrhea",Arjuna Bark
"vomiting, constipation, anxiety, cough",Amla Tablets
"sore throat, cough, fever, back pain",Chamomile Tea
"insomnia, acne, depression",Fenugreek Seeds
"stress, muscle pain",Brahmi Syrup
"skin rash, nausea",Ginger Powder
"insomnia, acne, sore throat, fever",Peppermint Oil
"acne, fever, depression, nausea",Shatavari Capsules
"joint pain, depression, constipation, fever",Brahmi Syrup
"depression, fever, insomnia",Amla Tablets
"acne, cough, muscle pain",Chamomile Tea
"headache, fatigue, stress, nausea",Fenugreek Seeds
"acne, vomiting, dizziness",Tulsi Extract
"stress, muscle pain",Ashwagandha Capsules
"skin rash, diarrhea",Licorice Root
"fatigue, constipation, acne",Fenugreek Seeds
"acne, depression, vomiting",Ginger Powder
"sore throat, itching, diarrhea, cough",Ashwagandha Capsules
"joint pain, muscle pain, stress, insomnia",Chamomile Tea
"vomiting, joint pain, diarrhea, itching",Licorice Root
"anxiety, stress, joint pain, constipation",Licorice Root
"acne, insomnia, fever, itching",Ginger Powder
"headache, vomiting",Chamomile Tea
"acne, vomiting, joint pain, sore throat",Triphala Juice
"depression, cough, nausea",Ginger Powder
"sore throat, diarrhea",Moringa Powder
"vomiting, acne",Fenugreek Seeds
"vomiting, skin rash",Amla Tablets
"anxiety, stress, joint pain",Moringa Powder
"vomiting, skin rash",Licorice Root
"cough, fatigue, dizziness",Peppermint Oil
"itching, dizziness",Licorice Root
"fever, insomnia",Turmeric Capsules
"back pain, cough",Ginger Powder
"depression, itching, back pain, joint pain",Licorice Root
"muscle pain, back pain",Fenugreek Seeds
"dizziness, back pain, fatigue, headache",Ashwagandha Capsules
"joint pain, itching",Arjuna Bark
"insomnia, diarrhea",Shatavari Capsules
"sore throat, diarrhea, acne",Arjuna Bark
"constipation, muscle pain, fatigue, joint pain",Neem Tablets
"insomnia, stress",Triphala Juice
"nausea, stress",Neem Tablets
"anxiety, vomiting, insomnia",Triphala Juice
"acne, back pain",Tulsi Extract
"itching, vomiting, acne, insomnia",Neem Tablets
"joint pain, insomnia, vomiting, sore throat",Triphala Juice
"skin rash, stress, fever",Chamomile Tea
"itching, skin rash, fatigue",Fenugreek Seeds
"nausea, constipation",Ginger Powder
"joint pain, insomnia, headache",Ginger Powder
"joint pain, stress, nausea",Ashwagandha Capsules
"anxiety, constipation",Ginger Powder
"constipation, fatigue, muscle pain",Brahmi Syrup
"muscle pain, sore throat, diarrhea",Moringa Powder
"muscle pain, sore throat",Peppermint Oil
"sore throat, back pain",Shatavari Capsules
"fatigue, nausea",Turmeric Capsules
"constipation, fever, depression",Fenugreek Seeds
"muscle pain, anxiety, dizziness",Peppermint Oil
"anxiety, joint pain, insomnia",Arjuna Bark
"insomnia, fatigue, itching",Fenugreek Seeds
"fatigue, diarrhea",Amla Tablets
"fever, headache",Shatavari Capsules
"constipation, skin rash",Fenugreek Seeds
"itching, constipation, fever",Turmeric Capsules
"cough, fever, skin rash, vomiting",Shatavari Capsules
"acne, muscle pain, cough",Brahmi Syrup
"dizziness, diarrhea",Shatavari Capsules
"depression, anxiety, headache",Ginger Powder
"dizziness, insomnia",Shatavari Capsules
"fever, anxiety, sore throat, vomiting",Ginger Powder
"anxiety, acne, joint pain, fever",Amla Tablets
"fever, fatigue, acne, anxiety",Peppermint Oil
"acne, nausea, headache, insomnia",Chamomile Tea
"depression, muscle pain, vomiting, nausea",Turmeric Capsules
"diarrhea, dizziness, back pain",Arjuna Bark
"dizziness, acne, constipation, stress",Chamomile Tea
"constipation, cough, nausea",Brahmi Syrup
"itching, headache, vomiting, fever",Triphala Juice
"stress, dizziness, diarrhea, anxiety",Turmeric Capsules
"joint pain, sore throat, skin rash",Arjuna Bark
"insomnia, back pain, cough, joint pain",Licorice Root
"joint pain, cough, constipation, muscle pain",Ginger Powder
"stress, insomnia, sore throat, back pain",Arjuna Bark
"sore throat, vomiting, fever",Moringa Powder
"diarrhea, back pain, fever, anxiety",Ashwagandha Capsules
"dizziness, joint pain, constipation",Triphala Juice
"stress, sore throat, cough, diarrhea",Brahmi Syrup
"cough, anxiety",Triphala Juice
"cough, fatigue, stress",Arjuna Bark
"insomnia, acne",Triphala Juice
"acne, dizziness, stress",Fenugreek Seeds
"sore throat, skin rash, acne",Licorice Root
"fever, joint pain, cough, anxiety",Chamomile Tea
"back pain, stress",Peppermint Oil
"itching, stress",Chamomile Tea
"constipation, insomnia, skin rash",Peppermint Oil
"acne, itching",Ginger Powder
"diarrhea, anxiety, sore throat",Peppermint Oil
"cough, itching, diarrhea",Brahmi Syrup
"depression, muscle pain, nausea",Ginger Powder
"headache, joint pain, stress",Fenugreek Seeds
"nausea, muscle pain, diarrhea",Chamomile Tea
"itching, constipation",Triphala Juice
"stress, vomiting, itching",Tulsi Extract
"sore throat, joint pain, depression",Ashwagandha Capsules
"dizziness, itching, diarrhea, vomiting",Chamomile Tea
"headache, vomiting",Turmeric Capsules
"cough, stress, depression, dizziness",Ashwagandha Capsules
"sore throat, vomiting, insomnia",Brahmi Syrup
"headache, nausea, fever",Triphala Juice
"itching, depression, dizziness, back pain",Ashwagandha Capsules
"fatigue, nausea",Fenugreek Seeds
"acne, sore throat, anxiety, constipation",Ashwagandha Capsules
"dizziness, fever, fatigue, itching",Tulsi Extract
"diarrhea, fatigue, itching, joint pain",Amla Tablets
"itching, vomiting, headache",Peppermint Oil
"fatigue, headache, joint pain, itching",Shatavari Capsules
"dizziness, fatigue, headache",Licorice Root
"cough, fatigue, depression",Fenugreek Seeds
"constipation, diarrhea, itching",Turmeric Capsules
"muscle pain, constipation",Arjuna Bark
"nausea, headache",Peppermint Oil
"diarrhea, fatigue, vomiting, acne",Turmeric Capsules
"constipation, muscle pain, vomiting",Brahmi Syrup
"constipation, insomnia",Ginger Powder
"nausea, insomnia, diarrhea",Peppermint Oil
"anxiety, stress",Arjuna Bark
"depression, anxiety, acne, stress",Turmeric Capsules
"insomnia, back pain",Peppermint Oil
"cough, dizziness, fatigue, muscle pain",Neem Tablets
"anxiety, depression, vomiting",Brahmi Syrup
"dizziness, fever",Moringa Powder
"dizziness, sore throat, joint pain",Tulsi Extract
"constipation, diarrhea, fever, itching",Peppermint Oil
"headache, stress, anxiety",Tulsi Extract
"acne, cough, diarrhea, vomiting",Turmeric Capsules
"anxiety, itching, insomnia, fatigue",Ashwagandha Capsules
"nausea, itching",Tulsi Extract
"constipation, anxiety, fever, headache",Tulsi Extract
"joint pain, sore throat, back pain, fatigue",Fenugreek Seeds
"acne, sore throat, nausea",Licorice Root
"depression, cough, muscle pain, fever",Shatavari Capsules
"anxiety, vomiting, fatigue",Ashwagandha Capsules
"itching, vomiting",Licorice Root
"nausea, skin rash, back pain",Chamomile Tea
"vomiting, stress",Triphala Juice
"diarrhea, vomiting, muscle pain",Ginger Powder
"vomiting, depression, dizziness",Triphala Juice
"stress, vomiting, insomnia",Ginger Powder
"cough, nausea",Peppermint Oil
"joint pain, skin rash, depression",Licorice Root
"muscle pain, skin rash",Neem Tablets
"depression, vomiting",Triphala Juice
"nausea, diarrhea, dizziness, joint pain",Triphala Juice
"diarrhea, headache",Peppermint Oil
"stress, nausea, fever, anxiety",Ginger Powder
"sore throat, nausea, constipation, fatigue",Tulsi Extract
"anxiety, fatigue, acne",Moringa Powder
"constipation, depression",Moringa Powder
"anxiety, vomiting, back pain",Brahmi Syrup
"stress, fever",Ginger Powder
"dizziness, itching",Shatavari Capsules
"vomiting, constipation, stress, headache",Peppermint Oil
"cough, stress, joint pain, acne",Ashwagandha Capsules
"headache, diarrhea",Brahmi Syrup
"constipation, fatigue, cough",Turmeric Capsules
"insomnia, vomiting, dizziness, headache",Peppermint Oil
"cough, nausea, dizziness",Ashwagandha Capsules
"anxiety, constipation, stress, nausea",Turmeric Capsules
"itching, joint pain, muscle pain, cough",Triphala Juice
"headache, insomnia",Triphala Juice
"stress, joint pain",Amla Tablets
"acne, nausea, muscle pain",Peppermint Oil
"joint pain, vomiting, nausea, depression",Peppermint Oil
"fatigue, insomnia, itching, cough",Amla Tablets
"vomiting, depression",Turmeric Capsules
"fatigue, stress, back pain",Chamomile Tea
"itching, nausea",Ginger Powder
"fever, vomiting",Moringa Powder
"nausea, sore throat, insomnia",Chamomile Tea
"sore throat, skin rash, muscle pain, insomnia",Tulsi Extract
"skin rash, itching, joint pain, sore throat",Moringa Powder
"cough, fever, joint pain",Peppermint Oil
"diarrhea, fever, depression, sore throat",Brahmi Syrup
"anxiety, sore throat, fever",Chamomile Tea
"diarrhea, fatigue, nausea",Tulsi Extract
"anxiety, depression",Arjuna Bark
"fever, depression, sore throat, fatigue",Ashwagandha Capsules
"joint pain, itching, back pain, acne",Licorice Root
"skin rash, depression, insomnia, vomiting",Licorice Root
"muscle pain, skin rash",Amla Tablets
"back pain, constipation, stress",Chamomile Tea
"acne, back pain",Turmeric Capsules
"fatigue, vomiting",Arjuna Bark
"back pain, diarrhea, fatigue, headache",Arjuna Bark
"anxiety, stress, muscle pain",Turmeric Capsules
"headache, fatigue",Amla Tablets
"skin rash, muscle pain",Turmeric Capsules
"anxiety, sore throat, cough, dizziness",Ashwagandha Capsules
"depression, cough",Tulsi Extract
"vomiting, cough, headache",Amla Tablets
"insomnia, itching",Turmeric Capsules
"fatigue, diarrhea",Tulsi Extract
"cough, insomnia",Neem Tablets
"skin rash, muscle pain",Peppermint Oil
"nausea, diarrhea",Ginger Powder
"acne, fever",Ashwagandha Capsules
"fatigue, back pain, sore throat",Peppermint Oil
"itching, diarrhea, constipation",Amla Tablets
"muscle pain, depression, acne",Ginger Powder
"fatigue, joint pain, headache, itching",Chamomile Tea
"stress, insomnia, joint pain, anxiety",Chamomile Tea
"diarrhea, headache",Neem Tablets
"fever, stress",Tulsi Extract
"depression, acne",Tulsi Extract
"itching, fever, diarrhea, depression",Arjuna Bark
"muscle pain, depression",Turmeric Capsules
"skin rash, fever",Ashwagandha Capsules
"stress, skin rash, back pain, joint pain",Peppermint Oil
"dizziness, anxiety, acne, depression",Tulsi Extract
"skin rash, sore throat",Neem Tablets
"sore throat, back pain, joint pain, vomiting",Neem Tablets
"skin rash, stress",Peppermint Oil
"dizziness, cough",Fenugreek Seeds
"dizziness, joint pain",Peppermint Oil
"dizziness, itching, diarrhea, fever",Neem Tablets
"cough, insomnia, sore throat, itching",Amla Tablets
"fatigue, diarrhea",Triphala Juice
"headache, fatigue, vomiting",Neem Tablets
"nausea, fever",Moringa Powder
"constipation, nausea, cough",Amla Tablets
"fatigue, joint pain, acne, vomiting",Turmeric Capsules
"diarrhea, cough, muscle pain, headache",Arjuna Bark
"joint pain, itching, depression",Shatavari Capsules
"constipation, anxiety",Brahmi Syrup
"headache, insomnia, dizziness, depression",Neem Tablets
"back pain, vomiting",Fenugreek Seeds
"stress, skin rash, muscle pain",Brahmi Syrup
"fever, dizziness",Brahmi Syrup
"dizziness, skin rash",Arjuna Bark
"insomnia, nausea, skin rash, anxiety",Neem Tablets
"skin rash, dizziness",Moringa Powder
"skin rash, insomnia, itching, anxiety",Arjuna Bark
"cough, dizziness, fatigue, joint pain",Chamomile Tea
"dizziness, cough, sore throat",Turmeric Capsules
"back pain, stress",Peppermint Oil
"diarrhea, stress",Fenugreek Seeds
"muscle pain, acne",Licorice Root
"stress, itching, fatigue, depression",Chamomile Tea
"acne, cough",Moringa Powder
"insomnia, nausea, cough, sore throat",Triphala Juice
"diarrhea, headache",Moringa Powder
"anxiety, cough",Turmeric Capsules
"back pain, vomiting, muscle pain",Ginger Powder
"fatigue, nausea, headache",Chamomile Tea
"vomiting, fever, sore throat, cough",Peppermint Oil
"depression, skin rash, headache",Peppermint Oil
"anxiety, dizziness",Neem Tablets
